*NODE    ; Nodes
; iNO, X, Y, Z
1,0,-0,0
2,1,-0,0
3,2,-0,0
4,3,-0,0
5,4,-0,0
6,5,-0,0
7,6,-0,0
8,0,-1,0
9,1,-1,0
10,2,-1,0
11,3,-1,0
12,4,-1,0
13,5,-1,0
14,6,-1,0
15,0,-0.5,0
16,0.5,-1,0
17,1,-0.5,0
18,0.5,-0,0
19,1.5,-1,0
20,2,-0.5,0
21,1.5,-0,0
22,2.5,-1,0
23,3,-0.5,0
24,2.5,-0,0
25,3.5,-1,0
26,4,-0.5,0
27,3.5,-0,0
28,4.5,-1,0
29,5,-0.5,0
30,4.5,-0,0
31,5.5,-1,0
32,6,-0.5,0
33,5.5,-0,0
34,0,-2,0
35,1,-2,0
36,2,-2,0
37,3,-2,0
38,4,-2,0
39,5,-2,0
40,6,-2,0
41,0,-1.5,0
42,0.5,-2,0
43,1,-1.5,0
44,1.5,-2,0
45,2,-1.5,0
46,2.5,-2,0
47,3,-1.5,0
48,3.5,-2,0
49,4,-1.5,0
50,4.5,-2,0
51,5,-1.5,0
52,5.5,-2,0
53,6,-1.5,0
54,0,-3,0
55,1,-3,0
56,2,-3,0
57,3,-3,0
58,4,-3,0
59,5,-3,0
60,6,-3,0
61,0,-2.5,0
62,0.5,-3,0
63,1,-2.5,0
64,1.5,-3,0
65,2,-2.5,0
66,2.5,-3,0
67,3,-2.5,0
68,3.5,-3,0
69,4,-2.5,0
70,4.5,-3,0
71,5,-2.5,0
72,5.5,-3,0
73,6,-2.5,0
74,0,-4,0
75,1,-4,0
76,2,-4,0
77,3,-4,0
78,4,-4,0
79,5,-4,0
80,6,-4,0
81,0,-3.5,0
82,0.5,-4,0
83,1,-3.5,0
84,1.5,-4,0
85,2,-3.5,0
86,2.5,-4,0
87,3,-3.5,0
88,3.5,-4,0
89,4,-3.5,0
90,4.5,-4,0
91,5,-3.5,0
92,5.5,-4,0
93,6,-3.5,0
94,0,-0,1
95,0,-0,2
96,0,-0,3
97,1,-0,1
98,1,-0,2
99,1,-0,3
100,1,-0,0.5
101,0.5,-0,1
102,0,-0,0.5
103,1,-0,1.5
104,0.5,-0,2
105,0,-0,1.5
106,1,-0,2.5
107,0.5,-0,3
108,0,-0,2.5
109,2,-0,1
110,2,-0,2
111,2,-0,3
112,2,-0,0.5
113,1.5,-0,1
114,2,-0,1.5
115,1.5,-0,2
116,2,-0,2.5
117,1.5,-0,3
118,3,-0,1
119,3,-0,2
120,3,-0,3
121,3,-0,0.5
122,2.5,-0,1
123,3,-0,1.5
124,2.5,-0,2
125,3,-0,2.5
126,2.5,-0,3
127,4,-0,1
128,4,-0,2
129,4,-0,3
130,4,-0,0.5
131,3.5,-0,1
132,4,-0,1.5
133,3.5,-0,2
134,4,-0,2.5
135,3.5,-0,3
136,5,-0,1
137,5,-0,2
138,5,-0,3
139,5,-0,0.5
140,4.5,-0,1
141,5,-0,1.5
142,4.5,-0,2
143,5,-0,2.5
144,4.5,-0,3
145,6,-0,1
146,6,-0,2
147,6,-0,3
148,6,-0,0.5
149,5.5,-0,1
150,6,-0,1.5
151,5.5,-0,2
152,6,-0,2.5
153,5.5,-0,3
154,6,-4,1
155,6,-4,2
156,6,-4,3
157,5,-4,1
158,5,-4,2
159,5,-4,3
160,5,-4,0.5
161,5.5,-4,1
162,6,-4,0.5
163,5,-4,1.5
164,5.5,-4,2
165,6,-4,1.5
166,5,-4,2.5
167,5.5,-4,3
168,6,-4,2.5
169,4,-4,1
170,4,-4,2
171,4,-4,3
172,4,-4,0.5
173,4.5,-4,1
174,4,-4,1.5
175,4.5,-4,2
176,4,-4,2.5
177,4.5,-4,3
178,3,-4,1
179,3,-4,2
180,3,-4,3
181,3,-4,0.5
182,3.5,-4,1
183,3,-4,1.5
184,3.5,-4,2
185,3,-4,2.5
186,3.5,-4,3
187,2,-4,1
188,2,-4,2
189,2,-4,3
190,2,-4,0.5
191,2.5,-4,1
192,2,-4,1.5
193,2.5,-4,2
194,2,-4,2.5
195,2.5,-4,3
196,1,-4,1
197,1,-4,2
198,1,-4,3
199,1,-4,0.5
200,1.5,-4,1
201,1,-4,1.5
202,1.5,-4,2
203,1,-4,2.5
204,1.5,-4,3
205,0,-4,1
206,0,-4,2
207,0,-4,3
208,0,-4,0.5
209,0.5,-4,1
210,0,-4,1.5
211,0.5,-4,2
212,0,-4,2.5
213,0.5,-4,3
214,0,-1,3
215,0,-2,3
216,0,-3,3
217,0,-1,2
218,0,-2,2
219,0,-3,2
220,0,-0.5,2
221,0,-1,2.5
222,0,-0.5,3
223,0,-1.5,2
224,0,-2,2.5
225,0,-1.5,3
226,0,-2.5,2
227,0,-3,2.5
228,0,-2.5,3
229,0,-3.5,2
230,0,-3.5,3
231,0,-1,1
232,0,-2,1
233,0,-3,1
234,0,-0.5,1
235,0,-1,1.5
236,0,-1.5,1
237,0,-2,1.5
238,0,-2.5,1
239,0,-3,1.5
240,0,-3.5,1
241,0,-1,0.5
242,0,-2,0.5
243,0,-3,0.5
244,6,-3,3
245,6,-2,3
246,6,-1,3
247,6,-3,2
248,6,-2,2
249,6,-1,2
250,6,-3.5,2
251,6,-3,2.5
252,6,-3.5,3
253,6,-2.5,2
254,6,-2,2.5
255,6,-2.5,3
256,6,-1.5,2
257,6,-1,2.5
258,6,-1.5,3
259,6,-0.5,2
260,6,-0.5,3
261,6,-3,1
262,6,-2,1
263,6,-1,1
264,6,-3.5,1
265,6,-3,1.5
266,6,-2.5,1
267,6,-2,1.5
268,6,-1.5,1
269,6,-1,1.5
270,6,-0.5,1
271,6,-3,0.5
272,6,-2,0.5
273,6,-1,0.5
274,6,-5,0
275,6,-5,0.5
276,6,-5,1
277,5.5,-5,1
278,5,-5,1
279,5,-5,0.5
280,5,-5,0
281,5.5,-5,0
282,6,-5,1.5
283,6,-5,2
284,5.5,-5,2
285,5,-5,2
286,5,-5,1.5
287,6,-5,2.5
288,6,-5,3
289,5.5,-5,3
290,5,-5,3
291,5,-5,2.5
292,4.5,-5,1
293,4,-5,1
294,4,-5,0.5
295,4,-5,0
296,4.5,-5,0
297,4.5,-5,2
298,4,-5,2
299,4,-5,1.5
300,4.5,-5,3
301,4,-5,3
302,4,-5,2.5
303,3.5,-5,1
304,3,-5,1
305,3,-5,0.5
306,3,-5,0
307,3.5,-5,0
308,3.5,-5,2
309,3,-5,2
310,3,-5,1.5
311,3.5,-5,3
312,3,-5,3
313,3,-5,2.5
314,2.5,-5,1
315,2,-5,1
316,2,-5,0.5
317,2,-5,0
318,2.5,-5,0
319,2.5,-5,2
320,2,-5,2
321,2,-5,1.5
322,2.5,-5,3
323,2,-5,3
324,2,-5,2.5
325,1.5,-5,1
326,1,-5,1
327,1,-5,0.5
328,1,-5,0
329,1.5,-5,0
330,1.5,-5,2
331,1,-5,2
332,1,-5,1.5
333,1.5,-5,3
334,1,-5,3
335,1,-5,2.5
336,0.5,-5,1
337,0,-5,1
338,0,-5,0.5
339,0,-5,0
340,0.5,-5,0
341,0.5,-5,2
342,0,-5,2
343,0,-5,1.5
344,0.5,-5,3
345,0,-5,3
346,0,-5,2.5
347,-1,-0,3
348,-1,-0,2.5
349,-1,-0,2
350,-1,-0.5,2
351,-1,-1,2
352,-1,-1,2.5
353,-1,-1,3
354,-1,-0.5,3
355,-1,-1.5,2
356,-1,-2,2
357,-1,-2,2.5
358,-1,-2,3
359,-1,-1.5,3
360,-1,-2.5,2
361,-1,-3,2
362,-1,-3,2.5
363,-1,-3,3
364,-1,-2.5,3
365,-1,-3.5,2
366,-1,-4,2
367,-1,-4,2.5
368,-1,-4,3
369,-1,-3.5,3
370,-1,-0,1.5
371,-1,-0,1
372,-1,-0.5,1
373,-1,-1,1
374,-1,-1,1.5
375,-1,-1.5,1
376,-1,-2,1
377,-1,-2,1.5
378,-1,-2.5,1
379,-1,-3,1
380,-1,-3,1.5
381,-1,-3.5,1
382,-1,-4,1
383,-1,-4,1.5
384,-1,-0,0.5
385,-1,-0,0
386,-1,-0.5,0
387,-1,-1,0
388,-1,-1,0.5
389,-1,-1.5,0
390,-1,-2,0
391,-1,-2,0.5
392,-1,-2.5,0
393,-1,-3,0
394,-1,-3,0.5
395,-1,-3.5,0
396,-1,-4,0
397,-1,-4,0.5
398,0,1,0
399,0,1,0.5
400,0,1,1
